cell,x,y,z,cluster,n_transcripts,density,elongation,area,avg_confidence,avg_assignment_confidence,max_cluster_frac,lifespan
CRe71b95c8d-1,377.3894988738739,510.57615427927925,17.362471846846848,3,111,4.744,1.464,23.4,0.9771,0.9223,0.8828828828828829,50
CRe71b95c8d-2,375.1238473360656,514.7465420081967,17.393826844262296,3,122,3.894,2.231,31.33,0.9516,0.9254,0.9754098360655737,50
CRe71b95c8d-3,384.2890625,509.72734375,17.200520833333332,3,60,2.628,4.188,22.83,0.7993,0.9563,0.7166666666666667,50
CRe71b95c8d-4,376.02470930232556,521.7369186046511,17.064316860465116,3,43,2.311,7.786,18.61,0.5756,0.9744,0.7906976744186046,50
CRe71b95c8d-5,382.37389405626135,515.7175589836661,18.853703493647913,3,551,12.31,1.61,44.77,0.9931,0.8761,0.9727767695099818,50
CRe71b95c8d-6,386.0671082949309,519.0933899769585,18.48646313364055,3,217,7.267,2.694,29.86,0.9835,0.8159,0.9907834101382489,50
CRe71b95c8d-7,379.8229166666667,519.9114583333334,17.166666666666668,1,6,10.27,2.685,0.5845,0.7795,0.7933,0.8333333333333334,50
CRe71b95c8d-8,381.65625,523.7824519230769,16.950721153846153,3,13,4.183,2.034,3.108,0.05486,1.0,0.5384615384615384,50
CRe71b95c8d-9,375.26846590909093,525.3792613636364,17.014204545454547,4,11,4.737,5.583,2.322,0.006154,0.9818,0.36363636363636365,50
CRe71b95c8d-10,374.9035823170732,532.5659298780488,16.966844512195124,3,41,2.37,2.813,17.3,0.7806,0.9322,0.7560975609756098,50
CRe71b95c8d-11,386.4779025080906,514.4643507281553,18.983565938511326,3,309,9.92,2.383,31.15,0.9759,0.8017,0.9805825242718447,50
CRe71b95c8d-12,396.37687768240346,511.0821486051502,17.224919527896997,3,233,3.781,3.06,61.63,0.9569,0.974,0.9656652360515021,50
CRe71b95c8d-13,386.50831653225805,525.5735887096774,17.144657258064516,3,62,2.421,2.972,25.61,0.9221,0.9203,0.7419354838709677,50
CRe71b95c8d-14,391.40736607142856,517.2604166666666,17.141369047619047,1,42,3.179,6.356,13.21,0.9499,0.9276,0.6666666666666666,50
CRe71b95c8d-15,379.60655737704917,536.188268442623,17.37858606557377,3,61,3.005,2.21,20.3,0.8642,0.8495,0.9180327868852459,50
CRe71b95c8d-16,372.8419514388489,539.7576438848921,17.169964028776977,3,139,4.06,2.823,34.24,0.9624,0.9784,0.9568345323741008,50
CRe71b95c8d-17,384.97610294117646,533.5899586397059,17.3515625,3,136,2.878,1.688,47.26,0.9635,0.8881,0.9705882352941176,50
CRe71b95c8d-18,397.4505208333333,517.9767795138889,17.076171875,3,72,2.38,2.596,30.25,0.9014,0.9211,0.8055555555555556,50
CRe71b95c8d-19,401.59375,517.7703125,17.23671875,2,20,2.452,3.209,8.155,0.7227,0.907,1.0,50
CRe71b95c8d-20,388.5227004716981,529.451945754717,17.1126179245283,3,53,3.296,1.511,16.08,0.9855,0.6317,0.9433962264150944,50
CRe71b95c8d-21,394.2180631868132,527.3810096153846,17.413804945054945,3,91,3.884,3.748,23.43,0.9106,0.8765,0.9010989010989011,50
CRe71b95c8d-22,386.30555555555554,536.8663194444445,17.383680555555557,1,9,7.732,4.099,1.164,0.9629,0.8,1.0,50
CRe71b95c8d-23,410.0877976190476,509.1778273809524,17.447916666666668,3,21,3.44,1.226,6.105,0.5931,0.9505,0.5714285714285714,50
CRe71b95c8d-24,392.3823702830189,532.0852004716982,17.27948113207547,3,53,3.338,1.424,15.88,0.9776,0.7668,0.8867924528301887,50
CRe71b95c8d-25,374.19454656862746,546.4007352941177,17.487132352941178,3,51,5.972,1.151,8.54,0.9751,0.9522,0.9411764705882353,50
CRe71b95c8d-26,390.484375,534.3828125,17.067708333333332,4,6,13.49,1.278,0.4448,0.8801,0.8333,1.0,50
CRe71b95c8d-27,380.83846153846156,547.5701442307692,17.392836538461538,3,325,4.135,1.33,78.59,0.9702,0.9375,0.9384615384615385,50
CRe71b95c8d-28,405.31298076923076,520.6209134615384,17.403846153846153,3,65,2.269,6.558,28.65,0.7547,0.9806,0.8153846153846154,50
CRe71b95c8d-29,395.5833333333333,532.334375,17.132291666666667,1,15,2.866,4.56,5.233,0.6868,0.908,0.8,50
CRe71b95c8d-30,414.5071231617647,511.2725183823529,17.493566176470587,3,68,2.508,2.613,27.11,0.8432,0.9862,0.7941176470588235,50
CRe71b95c8d-31,375.7265625,553.4309895833334,17.052083333333332,3,12,3.401,3.134,3.528,0.4038,1.0,0.4166666666666667,50
CRe71b95c8d-32,390.40390625,537.2703125,17.3640625,3,40,4.044,2.965,9.89,0.975,0.959,1.0,50
CRe71b95c8d-33,411.8868371212121,516.3328598484849,17.39725378787879,3,33,4.162,3.154,7.929,0.9379,0.9697,0.9393939393939394,50
CRe71b95c8d-34,414.40349264705884,516.2306985294117,17.58363970588235,1,17,10.47,3.954,1.623,0.9933,0.9176,1.0,50
CRe71b95c8d-35,414.583984375,518.3684895833334,17.16796875,2,24,2.226,6.799,10.78,0.5834,0.945,0.625,50
CRe71b95c8d-36,385.8161830357143,542.7203125,17.346651785714286,3,140,2.701,1.198,51.83,0.9372,0.9361,0.9357142857142857,50
CRe71b95c8d-37,394.09765625,536.68359375,17.3515625,1,4,39.14,18.68,0.1022,0.02635,0.995,0.25,50
CRe71b95c8d-38,425.58470394736844,509.1324013157895,17.50657894736842,3,19,5.416,5.032,3.508,0.7681,1.0,0.9473684210526315,50
CRe71b95c8d-39,399.739375,535.56875,17.020625,3,25,4.766,1.51,5.246,0.9567,0.9032,0.32,50
CRe71b95c8d-40,423.9068287037037,515.5708912037037,17.26446759259259,3,54,1.739,13.05,31.06,0.5392,0.9885,0.6666666666666666,50
CRe71b95c8d-41,395.87416666666667,540.561875,17.207708333333333,3,75,2.906,2.99,25.81,0.9008,0.9155,0.88,50
CRe71b95c8d-42,399.328125,543.79296875,17.04296875,3,4,9.328,9.809,0.4288,0.001372,1.0,0.5,50
CRe71b95c8d-43,381.38841093117406,558.9100455465586,18.125316295546558,3,247,4.077,2.191,60.59,0.9336,0.8191,0.9190283400809717,50
CRe71b95c8d-44,402.0732853982301,538.1873617256637,17.1727046460177,3,113,3.094,2.422,36.52,0.9712,0.7966,0.9380530973451328,50
CRe71b95c8d-45,387.8467371323529,552.4140625,17.423943014705884,3,68,2.074,4.083,32.79,0.6421,0.9574,0.7794117647058824,50
CRe71b95c8d-46,406.8396739130435,534.7302989130435,17.22961956521739,3,69,5.018,7.787,13.75,0.9595,0.9316,0.855072463768116,50
CRe71b95c8d-47,413.26382211538464,531.8443509615385,17.110576923076923,3,26,2.853,9.668,9.112,0.5404,0.9385,0.7692307692307693,50
CRe71b95c8d-48,379.0812881097561,563.3950457317073,19.43704268292683,3,410,11.3,1.746,36.29,0.9892,0.8615,0.9780487804878049,50
CRe71b95c8d-49,427.3625578703704,520.5787037037037,17.51417824074074,3,54,1.714,1.638,31.51,0.5979,0.8437,0.37037037037037035,50
CRe71b95c8d-50,403.0704345703125,547.7969970703125,17.568115234375,3,128,2.982,2.244,42.93,0.9219,0.9348,0.859375,50
CRe71b95c8d-51,406.6016757246377,541.1451539855072,17.12590579710145,3,69,3.311,1.29,20.84,0.9233,0.9467,0.8405797101449275,50
CRe71b95c8d-52,371.4611037234043,580.7220744680851,17.611702127659573,3,47,5.719,1.52,8.218,0.9741,1.0,0.9787234042553191,50
CRe71b95c8d-53,383.6189833005894,564.0439894400786,19.242540520628683,3,509,9.965,2.136,51.08,0.9935,0.8749,0.9528487229862476,50
CRe71b95c8d-54,389.61371527777777,563.2109375,17.06394675925926,3,54,2.848,2.02,18.96,0.8907,0.8189,0.9259259259259259,50
CRe71b95c8d-55,399.6528752699784,554.1132221922246,18.02932640388769,3,463,5.853,1.154,79.11,0.9748,0.9151,0.9416846652267818,50
CRe71b95c8d-56,413.8182164634146,538.7783917682926,17.17549542682927,3,82,2.735,2.635,29.98,0.8331,0.9254,0.8170731707317073,50
CRe71b95c8d-57,394.43892045454544,559.8178661616162,17.645833333333332,3,99,3.091,1.908,32.03,0.8985,0.8986,0.797979797979798,50
CRe71b95c8d-58,393.70982142857144,555.890625,17.482142857142858,1,7,16.42,13.62,0.4264,0.7752,0.8486,1.0,50
CRe71b95c8d-59,438.22935267857144,513.6908482142857,17.89936755952381,3,84,2.41,1.247,34.86,0.74,0.994,0.7142857142857143,50
CRe71b95c8d-60,418.31640625,527.446875,17.27578125,3,20,2.052,1.276,9.747,0.162,1.0,0.5,50
CRe71b95c8d-61,428.780993852459,526.3863985655738,17.32863729508197,3,122,3.235,2.786,37.71,0.9318,0.7956,0.9016393442622951,50
CRe71b95c8d-62,421.8333333333333,532.1588541666666,17.078125,3,6,13.87,1.55,0.4327,0.1106,1.0,0.6666666666666666,50
CRe71b95c8d-63,398.63169642857144,559.5290178571429,17.203125,1,7,11.77,3.135,0.5947,0.7538,0.9057,1.0,50
CRe71b95c8d-64,432.7677364864865,522.7280405405405,17.461993243243242,1,37,4.406,1.895,8.397,0.9093,0.9373,0.8648648648648649,50
CRe71b95c8d-65,420.7452168367347,538.8773915816327,17.051977040816325,3,98,2.534,1.465,38.68,0.9491,0.9129,0.8877551020408163,50
CRe71b95c8d-66,371.5933219178082,587.8484589041096,17.602525684931507,3,73,4.936,6.478,14.79,0.8664,1.0,0.8082191780821918,50
CRe71b95c8d-67,424.72242647058823,532.5272671568628,17.22610294117647,3,51,2.972,7.198,17.16,0.9368,0.7855,0.9803921568627451,50
