cell,x,y,z,cluster,n_transcripts,density,elongation,area,avg_confidence,avg_assignment_confidence,max_cluster_frac,lifespan
CR19b175904-1,379.4282552083333,396.96165364583334,18.7716796875,2,240,5.482,2.421,43.78,0.9975,0.9304,0.8666666666666667,50
CR19b175904-2,384.20108695652175,395.70244565217394,17.36141304347826,1,23,3.172,1.757,7.251,0.9906,0.9,1.0,50
CR19b175904-3,383.8948863636364,397.81960227272725,17.453125,4,11,13.14,8.449,0.8372,0.9988,0.8527,1.0,50
CR19b175904-4,380.04296875,398.56640625,20.49609375,4,8,9.427,2.71,0.8486,0.9989,0.79,1.0,50
CR19b175904-5,378.38287401574803,405.61085137795277,18.686392716535433,1,127,2.553,3.807,49.75,0.9927,0.9197,0.8582677165354331,50
CR19b175904-6,385.8170955882353,398.4589460784314,18.984375,3,51,4.096,2.006,12.45,0.9983,0.9392,0.9411764705882353,50
CR19b175904-7,388.34573412698415,396.374751984127,17.297867063492063,2,63,4.083,4.642,15.43,0.9987,0.9683,0.9841269841269841,50
CR19b175904-8,372.3142361111111,414.42491319444446,17.315538194444443,2,36,1.261,5.632,28.56,0.7766,0.9172,0.6666666666666666,50
CR19b175904-9,376.23153409090907,411.8863636363636,17.67471590909091,2,22,4.928,2.192,4.464,0.9986,0.9036,0.6363636363636364,50
CR19b175904-10,382.8401268115942,402.52434329710144,18.52434329710145,2,138,4.605,1.582,29.97,0.9989,0.8688,0.8768115942028986,50
CR19b175904-11,382.7482394366197,407.65757042253523,18.38138204225352,4,71,2.925,2.59,24.27,0.9823,0.8749,0.7746478873239436,50
CR19b175904-12,392.5615234375,394.3984375,17.2685546875,3,16,1.925,8.052,8.311,0.5981,0.9988,0.375,50
CR19b175904-13,378.653125,411.7984375,17.6421875,4,10,10.74,9.59,0.9314,0.9976,0.876,1.0,50
CR19b175904-14,386.23677884615387,403.7331730769231,20.014423076923077,1,13,6.66,1.755,1.952,0.995,0.9477,1.0,50
CR19b175904-15,380.8020833333333,409.5625,17.44140625,1,12,4.368,1.048,2.747,0.9968,0.8133,1.0,50
CR19b175904-16,380.41586538461536,413.03846153846155,18.27283653846154,2,13,5.013,7.337,2.593,0.9964,0.8154,0.8461538461538461,50
CR19b175904-17,390.26699452191235,403.5730204183267,18.262512450199203,2,251,7.622,1.891,32.93,0.999,0.9598,0.9960159362549801,50
CR19b175904-18,380.36439732142856,418.57700892857144,18.222377232142858,3,56,3.608,4.863,15.52,0.9912,0.8975,0.8214285714285714,50
CR19b175904-19,382.7863609813084,414.7316004672897,18.304760514018692,4,107,3.561,7.143,30.05,0.9983,0.8422,0.7850467289719626,50
CR19b175904-20,383.315625,422.3734375,17.5,1,10,5.482,5.023,1.824,0.9979,0.846,1.0,50
CR19b175904-21,405.2451650943396,393.94044811320754,18.625,2,265,7.88,1.842,33.63,0.9967,0.8997,0.9773584905660377,50
CR19b175904-22,384.8349184782609,414.9660326086956,18.80774456521739,1,23,3.316,1.5,6.937,0.9973,0.8357,1.0,50
CR19b175904-23,378.54296875,423.05752840909093,17.551136363636363,4,44,6.653,1.352,6.614,0.9989,0.9614,0.45454545454545453,50
CR19b175904-24,387.4683277027027,413.015625,17.913429054054053,2,37,2.283,8.201,16.21,0.9522,0.9573,0.7837837837837838,50
CR19b175904-25,395.2255681818182,405.546875,19.44346590909091,2,55,6.663,1.965,8.255,0.997,0.8469,0.9636363636363636,50
CR19b175904-26,377.165625,418.878125,17.259375,2,10,10.18,6.614,0.9825,0.6872,0.87,0.6,50
CR19b175904-27,397.53977272727275,404.15909090909093,17.26278409090909,1,11,2.886,7.247,3.811,0.8118,1.0,0.9090909090909091,50
CR19b175904-28,392.22149553571427,409.7853794642857,19.8959375,2,700,12.79,1.243,54.74,0.9988,0.9323,0.9857142857142858,50
CR19b175904-29,409.2509943181818,396.98977272727274,18.517436079545455,2,440,9.356,1.45,47.03,0.9991,0.9046,0.9772727272727273,50
CR19b175904-30,396.0110197368421,412.7875,17.626809210526314,2,95,5.956,1.872,15.95,0.9991,0.8326,1.0,50
CR19b175904-31,387.8916298231511,420.6545418006431,18.047377411575564,2,311,8.625,2.156,36.06,0.9991,0.8335,0.9935691318327974,50
CR19b175904-32,381.859375,424.513671875,17.208984375,3,8,8.814,41.72,0.9076,0.9927,0.8875,1.0,50
CR19b175904-33,401.36439732142856,408.5146949404762,17.54892113095238,2,84,3.058,3.42,27.47,0.9946,0.9612,0.9047619047619048,50
CR19b175904-34,405.5700158227848,401.84375,17.76285601265823,2,79,2.543,1.545,31.07,0.9695,0.8175,0.620253164556962,50
CR19b175904-35,381.01190476190476,421.8705357142857,17.561011904761905,2,21,5.312,2.095,3.953,0.9991,0.7762,0.6666666666666666,50
CR19b175904-36,376.3158482142857,428.9185267857143,17.129464285714285,3,14,3.708,1.656,3.776,0.5213,1.0,0.7857142857142857,50
CR19b175904-37,383.46205357142856,426.66517857142856,21.655505952380953,2,21,14.49,1.988,1.449,0.9992,0.7286,1.0,50
CR19b175904-38,384.144168814433,424.9373389175258,21.568782216494846,4,97,6.336,2.094,15.31,0.999,0.8318,0.9072164948453608,50
CR19b175904-39,388.44188829787237,423.4252659574468,20.577559840425533,2,470,12.92,1.343,36.39,0.9991,0.8614,0.9638297872340426,50
CR19b175904-40,405.121875,411.64625,17.075625,4,25,4.653,1.209,5.373,0.9972,0.9096,0.84,50
CR19b175904-41,388.95917866492147,418.5651178010471,21.995009816753928,2,191,8.073,1.33,23.66,0.9991,0.7452,0.9109947643979057,50
CR19b175904-42,409.03125,405.79017857142856,17.770089285714285,3,14,3.621,2.33,3.866,0.9977,0.9071,0.9285714285714286,50
CR19b175904-43,381.8985969387755,433.7907100340136,18.683142006802722,2,147,5.751,3.777,25.56,0.9987,0.9351,0.9659863945578231,50
CR19b175904-44,383.69987555309734,430.0607715707965,19.338080752212388,4,452,7.469,2.729,60.52,0.9991,0.9337,0.9402654867256637,50
CR19b175904-45,376.0646952479339,441.20712809917353,18.14191632231405,2,121,4.121,1.944,29.36,0.9947,0.9083,0.8925619834710744,50
CR19b175904-46,383.7384259259259,430.23148148148147,19.222800925925927,3,27,11.82,2.219,2.284,0.9992,0.777,1.0,50
CR19b175904-47,406.328125,407.5390625,17.078125,2,2,NaN,NaN,NaN,0.9074,1.0,1.0,50
CR19b175904-48,371.14783653846155,447.11658653846155,17.704326923076923,3,13,5.37,5.748,2.421,0.9955,0.7862,1.0,50
CR19b175904-49,407.99715909090907,408.8650568181818,17.779829545454547,2,11,10.03,4.065,1.097,0.997,0.9055,1.0,50
CR19b175904-50,394.1389204545454,417.0432528409091,19.269389204545455,2,660,12.56,1.528,52.54,0.9991,0.8304,0.9863636363636363,50
CR19b175904-51,414.850625,403.015,18.930625,2,25,8.328,5.567,3.002,0.9992,0.6784,1.0,50
CR19b175904-52,415.9092699579832,396.63235294117646,17.985294117647058,4,238,4.559,2.164,52.2,0.9922,0.9367,0.9621848739495799,50
CR19b175904-53,400.7440036900369,416.8613929889299,17.64685193726937,2,271,4.896,1.896,55.35,0.9991,0.9018,0.9704797047970479,50
CR19b175904-54,414.03125,400.3454861111111,21.04861111111111,2,9,26.45,2.932,0.3403,0.9993,0.8133,1.0,50
CR19b175904-55,382.106875,438.286875,17.736875,4,25,10.64,6.564,2.349,0.9991,0.812,1.0,50
CR19b175904-56,400.99609375,422.5703125,16.9853515625,2,16,4.914,1.167,3.256,0.9922,0.67,1.0,50
CR19b175904-57,423.828125,397.528125,18.021875,2,10,7.067,3.723,1.415,0.7445,1.0,0.5,50
CR19b175904-58,369.76751512096774,450.45022681451616,17.65826612903226,2,124,3.379,4.222,36.7,0.9765,0.9645,0.8951612903225806,50
CR19b175904-59,396.7982700892857,424.4453125,17.265066964285715,2,56,5.308,11.59,10.55,0.999,0.9282,0.9821428571428571,50
CR19b175904-60,384.69965277777777,437.2005208333333,18.166087962962962,2,54,7.965,1.882,6.78,0.9992,0.927,0.8518518518518519,50
CR19b175904-61,393.72690217391306,420.7235903532609,21.550441576086957,2,552,11.85,2.039,46.59,0.9991,0.8074,0.9927536231884058,50
CR19b175904-62,407.90856481481484,415.51331018518516,17.497685185185187,1,27,2.074,2.692,13.02,0.875,0.957,0.7777777777777778,50
CR19b175904-63,398.1551724137931,425.92349137931035,18.169181034482758,3,29,9.242,3.826,3.138,0.9991,0.809,1.0,50
CR19b175904-64,406.0095486111111,418.76128472222223,17.38454861111111,4,18,8.929,2.903,2.016,0.999,0.9156,1.0,50
CR19b175904-65,410.0724431818182,410.84090909090907,17.287642045454547,4,22,1.995,7.311,11.03,0.9329,0.9064,0.5,50
CR19b175904-66,395.09109555984554,430.0528474903475,18.996561293436294,3,259,7.198,1.811,35.98,0.9991,0.9496,0.8223938223938224,50
CR19b175904-67,381.776187150838,442.1236033519553,17.935754189944134,2,179,4.961,1.589,36.08,0.9991,0.8765,0.9441340782122905,50
