cell,x,y,z,cluster,n_transcripts,density,elongation,area,avg_confidence,avg_assignment_confidence,max_cluster_frac,lifespan
CR19b175904-68,413.92789847611203,403.4511171746293,19.133468904448105,4,607,6.69,1.166,90.73,0.9974,0.9236,0.8896210873146623,50
CR19b175904-69,398.25852272727275,428.0291193181818,17.009943181818183,2,22,6.573,8.245,3.347,0.9992,0.6227,0.9545454545454546,50
CR19b175904-70,398.6505681818182,425.828125,20.354640151515152,2,33,4.603,5.416,7.17,0.9989,0.9127,0.9696969696969697,50
CR19b175904-71,412.8169642857143,414.296875,17.008928571428573,4,7,3.959,11.57,1.768,0.3351,1.0,0.5714285714285714,50
CR19b175904-72,430.7625,389.3875,17.305208333333333,1,15,2.223,13.42,6.749,0.5546,1.0,0.7333333333333333,50
CR19b175904-73,426.79481907894734,402.24917763157896,17.518503289473685,4,38,2.053,3.027,18.51,0.9332,1.0,0.9736842105263158,50
CR19b175904-74,378.8466296928328,447.6381186006826,18.467203498293514,2,293,5.831,1.458,50.25,0.9986,0.9232,0.9283276450511946,50
CR19b175904-75,388.74095394736844,433.19407894736844,17.089638157894736,1,19,1.764,2.741,10.77,0.8646,0.8442,0.42105263157894735,50
CR19b175904-76,391.1940104166667,441.1618412990196,17.473039215686274,2,204,3.685,2.842,55.36,0.9948,0.9555,0.8921568627450981,50
CR19b175904-77,372.1575520833333,457.4283854166667,18.5078125,3,12,6.273,5.097,1.913,0.9945,0.7067,0.8333333333333334,50
CR19b175904-78,405.64793346774195,421.74319556451616,17.041834677419356,2,62,1.954,1.065,31.73,0.9814,0.7345,0.7580645161290323,50
CR19b175904-79,369.8938577586207,459.8327047413793,19.474676724137932,2,58,4.287,2.393,13.53,0.9975,0.8376,1.0,50
CR19b175904-80,399.9294586820084,428.5996338912134,19.026869769874477,3,239,7.005,4.173,34.12,0.9989,0.9556,0.9665271966527197,50
CR19b175904-81,437.48331207482994,394.5298681972789,18.33407738095238,3,147,3.817,4.898,38.51,0.9837,0.9691,0.9523809523809523,50
CR19b175904-82,435.79747596153845,388.18810096153845,17.274639423076923,2,26,1.866,22.86,13.93,0.6384,0.9862,0.38461538461538464,50
CR19b175904-83,398.3663793103448,432.3143318965517,18.329094827586207,2,145,4.613,5.654,31.43,0.9988,0.8836,0.9724137931034482,50
CR19b175904-84,442.234375,390.15625,16.9609375,3,6,3.432,2.133,1.748,0.1645,1.0,0.5,50
CR19b175904-85,410.6901041666667,423.26128472222223,17.12717013888889,2,36,2.314,3.492,15.56,0.9672,0.9756,0.7777777777777778,50
CR19b175904-86,403.9574854651163,427.0141715116279,18.377543604651162,2,43,5.438,3.182,7.908,0.9975,0.8177,0.7441860465116279,50
CR19b175904-87,369.56324404761904,459.7529761904762,22.078869047619047,1,21,4.887,5.771,4.297,0.9475,0.8838,0.8095238095238095,50
CR19b175904-88,432.5726102941176,400.69025735294116,17.269301470588236,4,17,5.172,4.771,3.287,0.8956,0.9576,0.9411764705882353,50
CR19b175904-89,376.43272829341316,454.8179266467066,18.03246631736527,2,167,5.024,1.646,33.24,0.9918,0.9257,0.9221556886227545,50
CR19b175904-90,404.5220658396947,433.28291984732823,17.505844465648856,2,131,3.739,2.767,35.04,0.9991,0.8824,0.9694656488549618,50
CR19b175904-91,375.31178435114504,459.83015267175574,18.990458015267176,2,131,4.414,1.936,29.68,0.9986,0.8327,0.9236641221374046,50
CR19b175904-92,388.3580097087379,446.96783980582524,17.640473300970875,2,103,5.725,2.51,17.99,0.9985,0.9722,0.970873786407767,50
CR19b175904-93,441.2395833333333,386.9583333333333,17.104166666666668,3,6,4.89,6.712,1.227,0.0666,1.0,0.8333333333333334,50
CR19b175904-94,417.7620192307692,419.3076923076923,17.23798076923077,1,13,2.309,3.057,5.629,0.9372,0.8785,0.6923076923076923,50
CR19b175904-95,371.1119791666667,463.0520833333333,21.16015625,2,12,6.342,2.815,1.892,0.9987,0.8233,1.0,50
CR19b175904-96,447.5239583333333,387.50416666666666,18.419791666666665,3,15,5.673,3.915,2.644,0.9991,0.7493,1.0,50
CR19b175904-97,424.57419517102613,414.9900653923541,18.70683475855131,4,497,5.067,1.883,98.08,0.9902,0.971,0.9456740442655935,50
CR19b175904-98,396.1862980769231,440.6121794871795,17.080528846153847,2,39,2.798,2.387,13.94,0.99,0.8169,0.7948717948717948,50
CR19b175904-99,449.0189494680851,387.95565159574465,18.21522606382979,2,235,7.189,1.746,32.69,0.9988,0.9371,0.9234042553191489,50
CR19b175904-100,371.99264039855075,462.17142210144925,19.057178442028984,3,138,5.707,1.575,24.18,0.9863,0.9248,0.9565217391304348,50
CR19b175904-101,413.1822916666667,425.6614583333333,17.10590277777778,1,9,3.748,1.687,2.401,0.9235,0.8978,0.8888888888888888,50
CR19b175904-102,436.9741847826087,401.73641304347825,17.43161231884058,3,69,1.663,4.454,41.5,0.7935,0.9722,0.6811594202898551,50
CR19b175904-103,374.7250504032258,464.2842741935484,18.004788306451612,2,124,4.74,1.252,26.16,0.999,0.8052,0.9193548387096774,50
CR19b175904-104,424.9489182692308,414.2313701923077,18.275841346153847,2,26,8.065,2.192,3.224,0.9991,0.6738,1.0,50
CR19b175904-105,373.7572916666667,467.51458333333335,17.23125,3,15,13.85,7.488,1.083,0.9992,0.864,1.0,50
CR19b175904-106,424.8932291666667,408.5208333333333,17.8984375,1,6,7.745,15.8,0.7747,0.7977,0.9433,1.0,50
CR19b175904-107,409.0350506756757,430.4307432432432,17.317989864864863,2,37,2.578,1.444,14.35,0.9953,0.8454,0.5945945945945946,50
CR19b175904-108,388.21434169278996,453.3224431818182,17.665850313479623,2,319,3.994,1.219,79.86,0.9979,0.9687,0.987460815047022,50
CR19b175904-109,377.5260416666667,464.91015625,17.28515625,1,12,4.051,3.55,2.962,0.9964,0.9083,1.0,50
CR19b175904-110,447.4375,392.0364583333333,19.109375,2,3,9.285,12.42,0.3231,0.9519,1.0,0.6666666666666666,50
CR19b175904-111,376.51802884615387,464.68509615384613,20.344951923076923,1,13,3.953,1.868,3.289,0.9886,0.8169,0.9230769230769231,50
CR19b175904-112,453.98338293650795,387.78236607142856,18.4422123015873,2,126,6.988,1.796,18.03,0.9988,0.8698,0.9603174603174603,50
CR19b175904-113,433.7795138888889,406.5954861111111,18.29296875,1,36,1.242,1.518,28.99,0.9104,0.7944,0.8888888888888888,50
CR19b175904-114,450.79605263157896,392.7837171052632,17.421463815789473,4,38,1.936,5.419,19.63,0.9351,0.9047,0.8157894736842105,50
CR19b175904-115,374.14222440944883,469.85519192913387,17.92814960629921,2,127,7.854,1.621,16.17,0.999,0.9154,0.8661417322834646,50
CR19b175904-116,435.94942989864865,411.34702280405406,17.894214527027028,3,148,2.62,1.316,56.48,0.9817,0.8878,0.7432432432432432,50
CR19b175904-117,399.64246323529414,444.5615808823529,17.622767857142858,2,119,2.966,2.132,40.12,0.997,0.9276,0.8823529411764706,50
CR19b175904-118,408.7533143939394,436.0759943181818,17.19625946969697,2,66,2.626,2.046,25.13,0.9956,0.8412,0.8181818181818182,50
CR19b175904-119,383.796875,462.03860294117646,16.999080882352942,2,17,9.687,1.529,1.755,0.9981,1.0,1.0,50
CR19b175904-120,429.0065104166667,417.4505208333333,18.212239583333332,2,12,4.552,6.394,2.636,0.9916,0.7733,0.9166666666666666,50
CR19b175904-121,394.265,452.366875,16.986875,1,25,2.104,2.706,11.88,0.9166,0.9248,0.88,50
CR19b175904-122,387.82373450413223,460.37293388429754,17.507618801652892,2,121,5.902,4.225,20.5,0.999,0.8853,0.9917355371900827,50
CR19b175904-123,433.8478260869565,414.4646739130435,17.448029891304348,2,46,3.895,1.985,11.81,0.9972,0.9,0.9565217391304348,50
CR19b175904-124,419.5790264423077,423.857421875,17.25646033653846,4,104,2.357,1.949,44.13,0.9902,0.8379,0.875,50
CR19b175904-125,413.9024493243243,435.7871621621622,17.07305743243243,2,37,1.346,2.627,27.48,0.9171,0.7968,0.5675675675675675,50
CR19b175904-126,425.0685975609756,422.0255335365854,17.607469512195124,4,41,4.441,3.201,9.233,0.9991,0.7585,1.0,50
CR19b175904-127,445.81534090909093,396.88210227272725,17.446022727272727,1,11,2.134,5.313,5.154,0.4996,1.0,0.45454545454545453,50
CR19b175904-128,443.36875,406.864375,17.624375,4,25,1.652,1.369,15.13,0.8033,0.9384,0.76,50
CR19b175904-129,404.1666666666667,447.21484375,17.203125,4,12,2.42,2.638,4.959,0.8855,0.805,0.6666666666666666,50
CR19b175904-130,406.08505639097746,441.7238016917293,17.39156484962406,2,133,2.51,1.991,52.98,0.9972,0.9242,0.9398496240601504,50
CR19b175904-131,455.88875,392.593125,17.560625,2,50,5.477,1.518,9.129,0.9991,0.8588,0.92,50
CR19b175904-132,446.38194444444446,411.4322916666667,18.125,1,9,4.367,3.378,2.061,0.1045,0.9822,0.4444444444444444,50
CR19b175904-133,442.9296875,413.41796875,17.5703125,1,4,9.208,11.42,0.4344,0.04071,1.0,0.5,50
CR19b175904-134,454.8305921052632,397.0501644736842,17.48766447368421,3,19,2.785,5.553,6.823,0.9972,0.5137,0.9473684210526315,50
CR19b175904-135,370.13762626262627,484.5729166666667,17.124684343434343,2,99,3.645,7.085,27.16,0.9983,0.9394,0.9191919191919192,50
CR19b175904-136,421.765625,433.0138888888889,17.03298611111111,3,9,4.46,2.416,2.018,0.8504,0.8244,0.5555555555555556,50
CR19b175904-137,378.9075,472.379375,17.83975,2,375,4.615,1.187,81.25,0.9985,0.8345,0.9706666666666667,50
CR19b175904-138,400.91854508196724,451.80840163934425,17.544569672131146,2,61,2.182,2.039,27.95,0.9933,0.959,0.9180327868852459,50
CR19b175904-139,452.5346798780488,399.062118902439,17.29077743902439,4,41,1.462,1.397,28.05,0.9646,0.8239,0.926829268292683,50
CR19b175904-140,460.0360431763285,395.32861564009664,18.848769625603865,4,414,7.442,1.179,55.63,0.9991,0.9091,0.9516908212560387,50
CR19b175904-141,470.43359375,388.794921875,17.65625,1,16,3.069,4.785,5.214,0.9297,0.9575,0.9375,50
CR19b175904-142,429.8970663265306,424.7147959183674,18.14075255102041,2,245,5.032,2.47,48.69,0.9984,0.8973,0.9469387755102041,50
CR19b175904-143,435.40441176470586,419.8033088235294,17.600183823529413,4,17,3.95,5.077,4.304,0.9505,0.9718,0.7058823529411765,50
CR19b175904-144,395.46022727272725,458.11221590909093,17.254261363636363,2,11,2.58,2.721,4.263,0.9044,1.0,0.9090909090909091,50
CR19b175904-145,386.01770833333336,468.84046474358973,17.588782051282053,2,195,3.647,2.282,53.47,0.9988,0.8888,0.9641025641025641,50
CR19b175904-146,454.54114583333336,402.0950520833333,17.926041666666666,3,60,3.871,1.477,15.5,0.9982,0.89,0.9,50
CR19b175904-147,384.3875,476.1728365384615,17.318509615384617,2,65,2.572,1.385,25.27,0.9983,0.6618,0.9076923076923077,50
CR19b175904-148,406.5703125,450.0295138888889,17.325520833333332,2,18,5.464,1.735,3.294,0.9955,0.9333,0.8888888888888888,50
CR19b175904-149,418.6477864583333,437.4778645833333,16.9609375,2,24,1.693,3.639,14.18,0.7395,0.935,0.5416666666666666,50
CR19b175904-150,377.2631696428571,478.040625,17.541964285714286,2,70,4.493,4.713,15.58,0.999,0.8349,0.9428571428571428,50
CR19b175904-151,448.0125,407.64375,18.171875,3,5,8.209,34.34,0.6091,0.6357,1.0,0.6,50
CR19b175904-152,392.2967748397436,464.65705128205127,17.588842147435898,2,156,4.682,1.835,33.32,0.9957,0.8554,0.9743589743589743,50
CR19b175904-153,401.3265625,464.55375,17.791875,2,50,2.126,5.946,23.52,0.9851,0.7,0.9,50
CR19b175904-154,412.86859375,450.83015625,17.2190625,2,100,2.157,2.4,46.36,0.9894,0.9356,0.91,50
CR19b175904-155,425.67576800847456,428.3387976694915,18.474443855932204,2,590,9.341,1.182,63.16,0.9989,0.9005,0.9542372881355933,50
CR19b175904-156,464.86813936781607,392.25761494252873,18.64087643678161,4,435,8.206,1.624,53.01,0.9971,0.9297,0.8781609195402299,50
CR19b175904-157,457.20008680555554,400.3454861111111,17.91579861111111,2,36,5.19,1.625,6.937,0.9991,0.7961,0.9166666666666666,50
CR19b175904-158,440.87109375,415.83984375,18.31640625,1,4,6.827,3.944,0.5859,0.8746,1.0,0.5,50
CR19b175904-159,474.21875,385.10526315789474,17.401315789473685,2,19,3.292,7.341,5.772,0.9844,0.9379,0.9473684210526315,50
CR19b175904-160,466.7301136363636,396.4900568181818,17.960227272727273,1,11,5.405,1.596,2.035,0.9987,0.8382,1.0,50
CR19b175904-161,453.50619239631334,408.5494671658986,18.819412442396313,3,217,3.675,2.558,59.04,0.9937,0.9316,0.9308755760368663,50
CR19b175904-162,477.9592391304348,383.94497282608694,17.421875,4,23,2.886,2.809,7.969,0.926,0.9348,0.7391304347826086,50
CR19b175904-163,407.1283482142857,453.7427455357143,17.278459821428573,4,28,2.288,2.335,12.24,0.962,0.8964,0.75,50
CR19b175904-164,412.80517578125,445.1064453125,17.09375,1,32,1.776,3.59,18.02,0.9527,0.9544,0.78125,50
CR19b175904-165,450.4818181818182,404.1142045454545,17.94715909090909,1,55,2.366,12.79,23.25,0.9439,0.8033,0.9090909090909091,50
CR19b175904-166,461.25657894736844,400.44407894736844,18.14638157894737,3,76,2.701,2.579,28.14,0.971,0.9595,0.8421052631578947,50
CR19b175904-167,439.3418311403509,419.7683662280702,17.689418859649123,4,57,3.299,3.515,17.28,0.9797,0.966,0.8947368421052632,50
CR19b175904-168,476.2044270833333,386.0846354166667,17.669921875,2,24,8.302,1.946,2.891,0.999,0.9542,1.0,50
CR19b175904-169,447.8255208333333,417.5885416666667,17.268229166666668,1,6,5.177,35.06,1.159,0.3161,0.9,0.8333333333333334,50
CR19b175904-170,394.35085227272725,469.43886784511784,17.995686026936028,2,297,6.789,3.126,43.75,0.9989,0.9445,0.9865319865319865,50
CR19b175904-171,424.0638020833333,439.21875,17.170572916666668,3,12,1.973,6.353,6.082,0.7025,0.9333,0.5,50
CR19b175904-172,428.5554660652921,432.76750429553266,18.528726374570446,2,291,6.6,1.63,44.09,0.9972,0.8667,0.9037800687285223,50
CR19b175904-173,427.9243951612903,435.5690524193548,17.459173387096776,4,31,5.736,7.991,5.404,0.9975,0.789,0.8387096774193549,50
CR19b175904-174,472.76354166666664,389.33020833333336,17.910416666666666,2,15,7.4,2.946,2.027,0.993,0.8453,0.8,50
CR19b175904-175,445.458203125,420.86796875,17.326953125,4,40,1.997,1.315,20.03,0.9799,0.941,0.6,50
CR19b175904-176,442.2583705357143,420.55357142857144,17.583705357142858,1,28,1.934,8.589,14.48,0.9376,0.9171,0.8214285714285714,50
CR19b175904-177,437.88172238372096,425.49109738372096,17.27143895348837,4,86,1.723,3.518,49.9,0.977,0.8986,0.8604651162790697,50
CR19b175904-178,395.6083984375,462.2138671875,17.9677734375,3,16,1.772,3.993,9.029,0.9301,0.55,0.625,50
CR19b175904-179,471.7093618697479,395.15703781512605,17.534992121848738,2,238,5.305,1.332,44.86,0.9973,0.9338,0.9369747899159664,50
CR19b175904-180,402.6627840909091,460.2971590909091,17.388920454545456,2,55,1.377,6.001,39.94,0.8802,0.9236,0.8,50
CR19b175904-181,375.6673177083333,487.9759114583333,17.5390625,2,24,5.93,13.86,4.047,0.9986,0.635,0.9583333333333334,50
CR19b175904-182,413.34007352941177,455.4375,17.145220588235293,1,17,2.745,1.375,6.193,0.9945,0.8682,0.9411764705882353,50
CR19b175904-183,392.1002038043478,474.6589673913044,17.25679347826087,2,46,5.098,3.416,9.023,0.999,0.8152,1.0,50
CR19b175904-184,372.99245233050846,495.25344279661016,17.229277012711865,2,236,4.935,2.245,47.82,0.9982,0.9489,0.9788135593220338,50
CR19b175904-185,383.9402173913044,482.1890285326087,17.54662024456522,2,184,3.76,2.454,48.93,0.9972,0.8692,0.8913043478260869,50
CR19b175904-186,477.78125,392.88352272727275,18.514204545454547,4,11,5.278,4.41,2.084,0.9971,0.7836,0.9090909090909091,50
CR19b175904-187,467.578125,402.0625,18.0234375,1,2,NaN,NaN,NaN,0.9487,1.0,0.5,50
CR19b175904-188,451.74609375,416.4609375,17.265625,1,8,6.639,12.15,1.205,0.95,0.7875,0.875,50
CR19b175904-189,476.9796401515151,392.2026515151515,17.410511363636363,2,33,3.232,2.158,10.21,0.9653,0.8309,0.8181818181818182,50
CR19b175904-190,437.8798076923077,429.2379807692308,17.283653846153847,4,13,3.286,3.833,3.956,0.8525,1.0,0.6923076923076923,50
CR19b175904-191,469.6928094660194,399.769265776699,17.81735436893204,2,103,3.113,5.016,33.09,0.9934,0.9581,0.8252427184466019,50
CR19b175904-192,427.58986686390534,442.62777366863907,19.50369822485207,4,169,5.583,1.723,30.27,0.9986,0.8412,0.7692307692307693,50
CR19b175904-193,429.65401785714283,439.38392857142856,19.299107142857142,3,7,24.2,46.82,0.2893,0.9973,0.7829,1.0,50
CR19b175904-194,476.084375,398.92083333333335,19.26875,1,15,2.321,2.328,6.463,0.7704,1.0,0.6,50
CR19b175904-195,400.9303385416667,470.4049479166667,17.6552734375,2,48,3.756,1.993,12.78,0.9989,0.8379,0.9791666666666666,50
CR19b175904-196,420.3988486842105,450.7532894736842,17.34703947368421,1,19,2.304,7.052,8.245,0.872,1.0,0.631578947368421,50
CR19b175904-197,464.4041193181818,407.98970170454544,17.225852272727273,4,44,2.048,2.237,21.48,0.9691,0.9205,0.9090909090909091,50
CR19b175904-198,454.81825086805554,416.4130859375,19.01388888888889,3,144,4.1,2.22,35.12,0.9963,0.8365,0.8402777777777778,50
CR19b175904-199,400.4157986111111,475.4796875,17.512586805555557,2,180,3.672,1.508,49.02,0.9988,0.8581,0.9166666666666666,50
CR19b175904-200,427.35735887096774,443.98639112903226,17.686491935483872,2,31,10.78,17.56,2.875,0.9991,0.8284,1.0,50
CR19b175904-201,421.8020833333333,453.1302083333333,17.171875,1,3,1024.0,515.9,0.00293,0.8241,1.0,0.6666666666666666,50
CR19b175904-202,452.453125,424.04375,17.7296875,4,10,6.859,6.867,1.458,0.9461,0.892,1.0,50
CR19b175904-203,426.1975,445.080625,17.76875,3,25,3.21,1.894,7.788,0.9614,0.812,0.8,50
CR19b175904-204,401.6858552631579,471.71957236842104,17.208059210526315,4,19,7.016,2.777,2.708,0.9992,0.7558,1.0,50
CR19b175904-205,435.7479363207547,435.4641804245283,17.38885613207547,4,106,2.235,1.297,47.43,0.9858,0.9443,0.8301886792452831,50
CR19b175904-206,462.1107336956522,414.3570172634271,18.032768542199488,4,391,3.785,3.101,103.3,0.9979,0.9501,0.9104859335038363,50
CR19b175904-207,415.0297181372549,457.8759191176471,17.96875,2,51,3.887,1.715,13.12,0.9965,0.9776,0.8627450980392157,50
CR19b175904-208,381.8192895683453,489.1981789568345,19.274055755395683,2,695,11.45,1.502,60.68,0.9981,0.8858,0.9856115107913669,50
CR19b175904-209,471.0203125,405.55,17.7140625,2,10,2.506,3.311,3.991,0.6511,1.0,0.3,50
