cell,x,y,z,cluster,n_transcripts,density,elongation,area,avg_confidence,avg_assignment_confidence,max_cluster_frac,lifespan
CR0384e620e-41,729.125,392.4921875,17.2890625,1,2,NaN,NaN,NaN,0.9994,0.5,1.0,50
CR0384e620e-42,753.3311737804878,365.9958079268293,17.17016006097561,3,82,2.101,1.371,39.03,0.9882,0.8846,0.7560975609756098,50
CR0384e620e-43,733.7986208100559,389.34418645251395,17.83877444134078,3,179,4.492,4.536,39.85,0.9973,0.9201,0.9050279329608939,50
CR0384e620e-44,736.171875,385.47544642857144,16.890625,1,7,15.23,1.609,0.4596,0.9989,0.8229,0.8571428571428571,50
CR0384e620e-45,758.189453125,368.986328125,18.591796875,3,8,5.464,2.814,1.464,0.9779,0.9175,0.75,50
CR0384e620e-46,768.94765625,358.38515625,16.86484375,2,20,6.447,2.093,3.102,0.9993,0.957,0.95,50
CR0384e620e-47,765.6798691860465,356.6825944767442,17.299418604651162,4,86,2.044,3.622,42.07,0.996,0.9049,0.5930232558139535,50
CR0384e620e-48,774.1789772727273,352.85227272727275,16.8125,4,11,4.486,1.916,2.452,0.937,0.9745,0.7272727272727273,50
CR0384e620e-49,748.2710280373832,368.9573598130841,17.34418808411215,3,107,2.796,3.268,38.27,0.9932,0.9153,0.8504672897196262,50
CR0384e620e-50,739.4391447368421,388.1196546052632,18.683388157894736,3,38,6.488,3.939,5.857,0.9925,0.8721,0.9736842105263158,50
CR0384e620e-51,760.0734375,365.2044270833333,17.51640625,2,120,1.806,1.55,66.43,0.9954,0.8765,0.8833333333333333,50
CR0384e620e-52,726.140625,397.8984375,21.328125,2,2,NaN,NaN,NaN,0.9918,1.0,1.0,50
CR0384e620e-53,741.4550426136364,383.3984375,17.314204545454544,3,220,4.961,1.853,44.35,0.9982,0.8579,0.9590909090909091,50
CR0384e620e-54,728.8981846252129,402.00026618398635,18.837867333901194,3,587,10.21,1.165,57.48,0.9993,0.8789,0.9846678023850085,50
CR0384e620e-55,744.2951388888889,387.1507936507937,16.92981150793651,3,126,6.244,2.059,20.18,0.9992,0.7987,0.9920634920634921,50
CR0384e620e-56,729.426775147929,395.9120284763314,18.61048446745562,3,338,7.367,1.291,45.88,0.9992,0.8307,0.9437869822485208,50
CR0384e620e-57,759.75625,371.78046875,17.8515625,4,20,3.093,6.313,6.466,0.958,0.93,0.7,50
CR0384e620e-58,750.4553395669292,376.87204724409446,17.804256889763778,3,127,1.969,1.588,64.5,0.9824,0.857,0.5354330708661418,50
CR0384e620e-59,771.4288517441861,363.0399709302326,19.070542635658914,3,645,12.43,2.435,51.87,0.9993,0.9019,0.9844961240310077,50
CR0384e620e-60,762.3203125,371.201171875,17.3046875,1,8,15.28,35.5,0.5237,0.929,0.945,1.0,50
CR0384e620e-61,774.5799197635135,357.46452702702703,17.790857263513512,3,148,3.781,2.379,39.14,0.9989,0.9068,0.8243243243243243,50
CR0384e620e-62,766.5588768115942,366.7939877717391,18.50492527173913,3,276,7.161,2.656,38.54,0.9991,0.9249,0.927536231884058,50
CR0384e620e-63,760.6625,374.975,16.7953125,3,10,2.325,12.95,4.301,0.9486,0.78,0.9,50
CR0384e620e-64,729.2760416666666,407.912037037037,18.619502314814813,3,162,4.2,6.389,38.57,0.993,0.9258,0.9444444444444444,50
CR0384e620e-65,736.510724852071,395.53256749260356,19.076992418639055,3,676,10.66,1.317,63.43,0.9993,0.8757,0.9822485207100592,50
CR0384e620e-66,732.2908653846154,398.5978565705128,21.03856169871795,3,156,6.273,1.411,24.87,0.9991,0.6745,0.967948717948718,50
CR0384e620e-67,786.3990709459459,354.42736486486484,17.888091216216218,3,37,3.901,1.933,9.484,0.9976,0.8492,0.918918918918919,50
CR0384e620e-68,749.0464676443203,384.91323324022346,17.791201117318437,3,537,7.061,1.455,76.05,0.9988,0.8889,0.9683426443202979,50
CR0384e620e-69,757.0561417748918,382.2728625541126,17.37878787878788,3,231,5.19,2.981,44.51,0.9991,0.8624,0.8484848484848485,50
CR0384e620e-70,762.6328125,376.5091145833333,17.9384765625,4,48,2.646,10.08,18.14,0.9903,0.7908,0.6041666666666666,50
CR0384e620e-71,730.8549107142857,409.5200892857143,18.579241071428573,1,14,4.952,6.005,2.827,0.9924,0.8214,1.0,50
CR0384e620e-72,744.5611049107143,394.01766531808033,19.703944614955358,3,896,13.98,1.679,64.07,0.9992,0.8864,0.9866071428571429,50
CR0384e620e-73,767.358428030303,372.8806818181818,17.249526515151516,4,33,3.125,2.145,10.56,0.9979,0.9115,0.8787878787878788,50
CR0384e620e-74,771.0743027553764,368.9700100806452,19.18813004032258,3,372,14.68,1.577,25.34,0.9993,0.7954,0.9946236559139785,50
CR0384e620e-75,731.889445754717,417.0347877358491,17.00943396226415,3,53,1.862,1.406,28.47,0.967,0.76,0.9056603773584906,50
CR0384e620e-76,735.6215231788079,401.8862582781457,19.16717715231788,3,755,13.35,1.689,56.54,0.9993,0.8557,0.9920529801324504,50
CR0384e620e-77,781.46240234375,356.580810546875,17.36572265625,3,128,2.264,2.385,56.53,0.9851,0.8922,0.703125,50
CR0384e620e-78,739.75,404.623125,17.545625,4,25,7.881,2.407,3.172,0.9985,0.9016,1.0,50
